,Turn,s,R,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,vx_max
629,Right,1.149,20.84,,,,,,,13.898634425991363
630,Right,1.178,22.401999999999997,,,,,,,14.39548740938535
631,Right,1.192,54.855,,,,,,,22.066810316601984
632,Left,1.175,63.356,,,,,,,23.590667629335975
633,Left,1.158,20.081,,,,,,,13.649923345761524
634,Left,1.153,14.244000000000002,,,,,,,11.540070116459951
635,Left,1.13,12.753,,,,,,,10.930081670074749
636,Left,1.093,11.543,,,,,,,10.406912342611701
637,Left,1.058,11.408,,,,,,,10.34679552606065
638,Left,1.025,9.959,,,,,,,9.676611466642344
639,Left,0.997,8.79,,,,,,,9.097974517948636
640,Left,0.971,9.106,,,,,,,9.25813560280552
641,Left,0.935,8.121,,,,,,,8.748767808334138
642,Left,0.907,7.691,,,,,,,8.516417555278032
643,Left,0.8859999999999999,8.661,,,,,,,9.031736933969619
644,Left,0.882,8.846,,,,,,,9.12657220367025
645,Left,0.888,8.578,,,,,,,8.988848873052364
646,Left,0.902,8.594,,,,,,,8.99713309016863
647,Left,0.934,9.638,,,,,,,9.521399600776213
648,Left,0.971,10.899000000000001,,,,,,,10.116723724249802
649,Left,1.002,11.876,,,,,,,10.553646753856578
650,Left,1.026,15.161,,,,,,,11.898591709104384
651,Left,1.047,17.49,,,,,,,12.760435587457449
652,Left,1.067,18.987000000000002,,,,,,,13.28235043637745
653,Left,1.097,18.033,,,,,,,12.952415109071104
654,Left,1.14,18.689,,,,,,,13.18026359772451
655,Left,1.185,76.396,,,,,,,25.69937436788256
656,Right,1.224,33.812,,,,,,,17.556136573922718
657,Right,1.285,20.204,,,,,,,13.690568621639526
658,Right,1.34,19.24,,,,,,,13.368348060251474
659,Right,1.385,23.078000000000003,,,,,,,14.604671316016123
660,Right,1.412,28.142,,,,,,,16.074966976146055
661,Right,1.425,36.361999999999995,,,,,,,18.176529078004766
662,Right,1.416,43.898,,,,,,,19.87627595130471
663,Right,1.3980000000000001,40.979,,,,,,,19.23953130002657
664,Right,1.3630000000000002,82.632,,,,,,,26.62725688369564
665,Left,1.294,41.643,,,,,,,19.386629498600552
666,Left,1.256,18.385,,,,,,,13.075217355612631
667,Left,1.246,14.599,,,,,,,11.680273384772539
668,Left,1.227,13.24,,,,,,,11.13326098314321
669,Left,1.204,12.745,,,,,,,10.92671029068733
670,Left,1.178,13.314,,,,,,,11.163788138049041
671,Left,1.173,17.409000000000002,,,,,,,12.731526083347891
672,Left,1.183,20.53,,,,,,,13.797653629854047
673,Left,1.1909999999999998,37.856,,,,,,,18.528557373253523
674,Right,1.192,61.357,,,,,,,23.244145981885932
675,Right,1.2109999999999999,22.905,,,,,,,14.55145865441533
676,Right,1.218,15.77,,,,,,,12.130380876919679
677,Right,1.207,14.079,,,,,,,11.47427712087412
678,Right,1.181,13.644,,,,,,,11.298847602525827
679,Right,1.158,11.709000000000001,,,,,,,10.480332093499745
680,Right,1.139,13.32,,,,,,,11.166259395602065
681,Right,1.117,16.969,,,,,,,12.573217295936994
682,Right,1.107,17.463,,,,,,,12.750807047841315
683,Right,1.101,59.354,,,,,,,22.88991121571635
684,Left,1.112,28.339000000000002,,,,,,,16.1290880716413
685,Left,1.147,18.218,,,,,,,13.017114547866994
686,Left,1.178,16.697,,,,,,,12.47425653007567
687,Left,1.205,17.178,,,,,,,12.648683710491303
688,Left,1.2229999999999999,15.251,,,,,,,11.933153213974858
689,Left,1.2409999999999999,13.944,,,,,,,11.420143224056268
690,Left,1.248,13.447000000000001,,,,,,,11.218430886434973
691,Left,1.25,13.807,,,,,,,11.364923998159133
692,Left,1.249,16.352,,,,,,,12.3474928383712
693,Left,1.256,18.840999999999998,,,,,,,13.23244304962145
694,Left,1.275,23.403000000000002,,,,,,,14.704052693281511
695,Left,1.298,22.694000000000003,,,,,,,14.486260569493343
696,Left,1.3330000000000002,19.468,,,,,,,13.445328607061146
697,Left,1.374,20.523000000000003,,,,,,,13.795363941175532
698,Left,1.403,18.654,,,,,,,13.16821636974094
699,Left,1.452,19.454,,,,,,,13.440615750183634
700,Left,1.494,22.595,,,,,,,14.45555629789696
701,Left,1.527,23.115,,,,,,,14.61602382255446
702,Left,1.5319999999999998,32.519,,,,,,,17.23142528885481
703,Left,1.535,64.084,,,,,,,23.715188839620964
704,Left,1.5630000000000002,48.428999999999995,,,,,,,20.81745490225579
705,Left,1.614,43.458999999999996,,,,,,,19.782119262993703
706,Left,1.641,50.02,,,,,,,21.13556041692914
707,Left,1.675,39.984,,,,,,,19.016504796977816
708,Left,1.694,37.297,,,,,,,18.397786261386997
709,Left,1.6909999999999998,36.183,,,,,,,18.133802242021183
710,Left,1.686,37.927,,,,,,,18.545087699681904
711,Left,1.626,59.718,,,,,,,22.954822974617304
712,Left,1.544,71.414,,,,,,,24.922637305689122
713,Left,1.49,37.908,,,,,,,18.540665827826466
714,Left,1.453,33.664,,,,,,,17.51932833041961
715,Left,1.405,43.254,,,,,,,19.737961116669982
716,Left,1.348,31.011,,,,,,,16.843411022555745
717,Left,1.3090000000000002,24.403000000000002,,,,,,,15.005202002509213
718,Left,1.253,28.451999999999998,,,,,,,16.160038010930155
719,Left,1.207,27.759,,,,,,,15.969142590932986
720,Left,1.153,36.79,,,,,,,18.278208246483683
721,Right,1.052,108.366,,,,,,,30.031649298463062
722,Right,0.95,27.01,,,,,,,15.75983052191705
723,Right,0.905,17.178,,,,,,,12.648683710491303
724,Right,0.879,10.5,,,,,,,9.932425151124287
725,Right,0.871,8.37,,,,,,,8.880418562074546
726,Right,0.863,7.531000000000001,,,,,,,8.428257600564441
727,Right,0.852,7.841,,,,,,,8.598213234355917
728,Right,0.838,8.111,,,,,,,8.743437402162126
729,Right,0.833,8.017999999999999,,,,,,,8.693701305299994
730,Right,0.847,7.982,,,,,,,8.67436876422235
731,Right,0.858,7.15,,,,,,,8.21436360535788
732,Right,0.8540000000000001,7.386,,,,,,,8.34752573922278
733,Right,0.8340000000000001,6.86,,,,,,,8.047598221262158
734,Right,0.81,6.06,,,,,,,7.56781612569608
735,Right,0.787,6.534,,,,,,,7.85574724055208
736,Right,0.765,6.05,,,,,,,7.561619565837619
737,Right,0.75,5.808,,,,,,,7.410031832414112
738,Right,0.7490000000000001,6.481,,,,,,,7.8240962755319
739,Right,0.7659999999999999,6.728,,,,,,,7.970492508062064
