,x,y,s,R,vx_entry,time,acceleration,vel_fi,vel_ri,vx_max,vx_exit
254,25.5,0.0,0.1,10000.0,25.27561726986423,0.0,12.094490983422375,33.29511773786174,33.29511773786174,33.29511773786174,25.32338133319443
255,25.6,0.0,0.1,10000.0,25.32338133319443,0.0,12.084068868605968,33.29511773786174,33.29511773786174,33.29511773786174,25.371014431696175
256,25.7,0.0,0.1,10000.0,25.371014431696175,0.0,12.07365573477747,33.29511773786174,33.29511773786174,33.29511773786174,25.41851733693716
257,25.8,0.0,0.1,10000.0,25.41851733693716,0.0,12.063251574197743,33.29511773786174,33.29511773786174,33.29511773786174,25.465890812693
258,25.9,0.0,0.1,10000.0,25.465890812693,0.0,12.052856379134322,33.29511773786174,33.29511773786174,33.29511773786174,25.513135615058648
259,26.0,0.0,0.1,10000.0,25.513135615058648,0.0,12.042470141861408,33.29511773786174,33.29511773786174,33.29511773786174,25.560252492557776
260,26.1,0.0,0.1,10000.0,25.560252492557776,0.0,12.032092854659851,33.29511773786174,33.29511773786174,33.29511773786174,25.60724218625015
261,26.2,0.0,0.1,10000.0,25.60724218625015,0.0,12.021724509817163,33.29511773786174,33.29511773786174,33.29511773786174,25.65410542983705
262,26.3,0.0,0.1,10000.0,25.65410542983705,0.0,12.011365099627497,33.29511773786174,33.29511773786174,33.29511773786174,25.700842949764763
263,26.4,0.0,0.1,10000.0,25.700842949764763,0.0,12.001014616391647,33.29511773786174,33.29511773786174,33.29511773786174,25.74745546532621
264,26.5,0.0,0.1,10000.0,25.74745546532621,0.0,11.990673052417037,33.29511773786174,33.29511773786174,33.29511773786174,25.793943688760745
265,26.6,0.0,0.1,10000.0,25.793943688760745,0.0,11.980340400017731,33.29511773786174,33.29511773786174,33.29511773786174,25.84030832535214
266,26.7,0.0,0.1,10000.0,25.84030832535214,0.0,11.970016651514404,33.29511773786174,33.29511773786174,33.29511773786174,25.886550073524862
267,26.8,0.0,0.1,10000.0,25.886550073524862,0.0,11.95970179923436,33.29511773786174,33.29511773786174,33.29511773786174,25.932669624938587
268,26.9,0.0,0.1,10000.0,25.932669624938587,0.0,11.949395835511503,33.29511773786174,33.29511773786174,33.29511773786174,25.97866766458106
269,27.0,0.0,0.1,10000.0,25.97866766458106,0.0,11.939098752686348,33.29511773786174,33.29511773786174,33.29511773786174,26.024544870859334
270,27.1,0.0,0.1,10000.0,26.024544870859334,0.0,11.928810543106017,33.29511773786174,33.29511773786174,33.29511773786174,26.07030191568935
271,27.2,0.0,0.1,10000.0,26.07030191568935,0.0,11.918531199124216,33.29511773786174,33.29511773786174,33.29511773786174,26.115939464584
272,27.3,0.0,0.1,10000.0,26.115939464584,0.0,11.908260713101246,33.29511773786174,33.29511773786174,33.29511773786174,26.16145817673963
273,27.4,0.0,0.1,10000.0,26.16145817673963,0.0,11.897999077403991,33.29511773786174,33.29511773786174,33.29511773786174,26.206858705121032
274,27.5,0.0,0.1,10000.0,26.206858705121032,0.0,11.88774628440591,33.29511773786174,33.29511773786174,33.29511773786174,26.252141696544978
275,27.6,0.0,0.1,10000.0,26.252141696544978,0.0,11.877502326487038,33.29511773786174,33.29511773786174,33.29511773786174,26.2973077917623
276,27.7,0.0,0.1,10000.0,26.2973077917623,0.0,11.867267196033971,33.29511773786174,33.29511773786174,33.29511773786174,26.342357625538572
277,27.8,0.0,0.1,10000.0,26.342357625538572,0.0,11.857040885439872,33.29511773786174,33.29511773786174,33.29511773786174,26.387291826733396
